LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
C,137,C822,,44.6,N,82.9,E,Asia,China,,"Tarim and Xinjiang:Jinhe,Xinjiang",Middle,Mississippian,Visean,,Coals,Meilukahe,,"Li Rui-shen,Gu Gu-shen(1994)",
C,138,C823,,37,N,96,E,Asia,China,,Chaidam:Huaitoutala,Middle,Mississippian,,,Coals,Huaitoutala,,"The Stratagraphic Team of the Qilianshan, Academia Sinica(1958)",
C,139,C824,,41,N,95,E,Asia,China,,Chaidam:Beishan,Middle,Mississippian,,,Coals,Choniukou,,"The Stratagraphic Team of the Qilianshan, Academia Sinica(1958)",
C,140,C825,,39,N,109,E,Asia,China,,Chaidam:Sunan,Middle,Mississippian,,,Coals,Choniukou,,"The Stratagraphic Team of the Qilianshan, Academia Sinica(1958)",
C,141,C826,,31.3,N,96.6,E,Asia,China,,Xizang:Jiangda,Middle,Mississippian,Visean,,Coals,Machala,,Li et al.(1994),
C,142,C827,,31.8,N,97,E,Asia,China,,Xizang:Leiwuqi,Middle,Mississippian,,,Coals,Machala,,The Qinghai-Tibet Plateau Exhibition Team(1984),
C,143,C828,,30,N,90,E,Asia,China,,"Xizang:Tanggula Shan,Tanggula subreg,Qiangtang reg(Tbl 2),Qamdo subreg, Qiantang reg(Tbl 3),Tibet",L-M-U,Mississippian,,,Coals,,,"Taner,Meyerhoff(1990)",
C,144,C829,,32,N,96,E,Asia,China,,Xizang:Changdu,Middle,Mississippian,Visean,,Coals,Machala,,"Tan Yue-yan,Wei Zhen-sheng(1987) and Yang Jing-zhi et al.(1982)"
C,145,C830,,30,N,98,E,Asia,China,,Xizang:Mangkang-Zhuogong,Lower,Mississippian,,,Coals,,,Wang Zhen-ji(1990)
C,146,C831,,33,N,95,E,Asia,China,,Xizang:Zaduo,Lower,Mississippian,Visean,,Coals,,,Wang Zhen-ji(1990)
C,147,C832,,34,N,92,E,Asia,China,,Xizang:Yanshiping,Middle,Mississippian,Visean,,Coals,,,Wang Hong-zhen(1985)
